experiment,round,train_loss,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
federated,1,7182.5216708014395,84.71539266217356,74.13597106933594,11059790.585130963,0.9667764909825708,0.8780694656540812,0.0,0.0,0.0,3089,0,620,0,99.96765101771673,95.45201873779297,46201649.75350688,0.9571654928717303,0.6696766166355159,0.0,0.0,0.0,9864,0,332,0
federated,2,6566.848811829974,81.82494295178275,71.18072509765625,8554255.972413316,0.9557456740358609,0.86992107017561,0.0,0.0,0.0,3089,0,620,0,96.78573003838169,92.12080383300781,35738972.28149397,0.9313679596732428,0.6478786013798866,0.0,0.0,0.0,9864,0,332,0
federated,3,6101.52128386334,78.75212360727963,68.13873291015625,6484173.116650203,0.9595051117910589,0.8561431405021759,0.0,0.0,0.0,3089,0,620,0,93.36598956693224,88.55377197265625,27090412.897905905,0.9670415237592705,0.6326267056986135,0.0,0.0,0.0,9864,0,332,0
federated,4,5619.7638773110275,75.48283059639292,64.9720687866211,4807817.256494718,0.9580081245627043,0.8545421809641043,1.0,0.15161290322580645,0.26330532212885155,3089,0,526,94,89.6905623388339,84.73542022705078,20085337.377861835,0.9495262070178524,0.625342856399259,1.0,0.0030120481927710845,0.006006006006006006,9864,0,331,1
federated,5,5132.926494982967,72.01663015950726,61.500484466552734,3492244.0769182397,0.9606689710627722,0.8709337087855081,0.8162878787878788,0.6951612903225807,0.7508710801393729,2992,97,189,431,85.7865833952198,80.702392578125,14588056.09164159,0.943546234817616,0.6493191371069644,0.7988505747126436,0.4186746987951807,0.549407114624506,9829,35,193,139
federated,6,4635.703205489301,68.29799208363487,57.62228775024414,2482861.3280938664,0.9028853684771144,0.8493321288271581,0.8855291576673866,0.6612903225806451,0.7571560480147738,3036,53,210,410,81.63457663001934,76.4087905883789,10372709.093364082,0.7949000991801757,0.5992946881556018,0.9016393442622951,0.3313253012048193,0.4845814977973568,9852,12,222,110
federated,7,4142.43062341546,64.49434477388309,53.98678970336914,1728609.8371312062,0.9404233544627659,0.8778026521877929,0.8330404217926186,0.7645161290322581,0.7973086627417998,2994,95,146,474,77.26837551979949,71.97376251220703,7221315.017893667,0.8621036762622264,0.6509482811053469,0.8104265402843602,0.5150602409638554,0.6298342541436464,9824,40,161,171
federated,8,3664.193229871003,60.53207883725269,50.327571868896484,1180550.6640746496,0.9619876460698212,0.8969791255064447,0.8061889250814332,0.7983870967741935,0.8022690437601296,2970,119,125,495,72.7022670135275,67.37680053710938,4930813.095810061,0.9212942096854573,0.6817911832269264,0.7591836734693878,0.5602409638554217,0.6447140381282496,9805,59,146,186
federated,9,3203.0282725965335,56.464856586171145,46.70796203613281,791723.3409542891,0.9663710460635554,0.9044457700602452,0.7898894154818326,0.8064516129032258,0.7980845969672785,2956,133,120,500,67.96164833589052,62.671268463134766,3304885.6409270563,0.9261672602820039,0.6945480798839913,0.7276119402985075,0.5873493975903614,0.65,9791,73,137,195
federated,10,2764.2800047839255,52.33412924645231,43.16862106323242,521116.3635642735,0.9697104188640231,0.9089313934710275,0.7644444444444445,0.832258064516129,0.7969111969111969,2930,159,104,516,63.0582567948084,57.876556396484375,2172314.337474147,0.9540543561105737,0.7104152923337954,0.6798679867986799,0.6204819277108434,0.6488188976377953,9767,97,126,206
federated,11,2355.4170926296083,48.194017575609166,39.74825668334961,338084.65914406383,0.9774120448208523,0.9124759915190914,0.7381275440976933,0.8774193548387097,0.8017686072218129,2896,193,76,544,58.043968635180995,53.053836822509766,1405195.9562275226,0.9792552203949618,0.7199344913320842,0.6205962059620597,0.6897590361445783,0.6533523537803139,9724,140,103,229
federated,12,1974.8000893740475,44.0211200310608,36.37068176269531,216773.02788737687,0.9778678766486701,0.913906782397016,0.7322623828647925,0.882258064516129,0.8002926115581566,2889,200,73,547,52.92950472754421,48.2134895324707,895605.8886557033,0.9800363253500621,0.726844610517238,0.6115485564304461,0.7018072289156626,0.6535764375876578,9716,148,99,233
federated,13,1629.0809827238256,39.93607868656329,33.179744720458984,138704.44952919736,0.9779670840338767,0.9128562260666516,0.7139208173690932,0.9016129032258065,0.796863863150392,2865,224,61,559,47.75350475930406,43.4066162109375,564969.9907915901,0.9801691559425048,0.7300130115633396,0.5769230769230769,0.7228915662650602,0.6417112299465241,9688,176,92,240
