experiment,summary_type,num_common_sensors,common_sensors,rmse,mae,nasa_score,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
rq1_lowest_common_sensors,single_global_model,2,s11 s15,19.05244996343974,14.585134506225586,97171.61681756668,0.9892944649644808,0.8187488374872292,0.729483282674772,0.7228915662650602,0.7261724659606656,9775.0,89.0,92.0,240.0
rq1_variable_sensor_adapter,client_macro_mean,not_applicable,client_specific,21.623575332648446,16.619902038574217,286235.5691831262,0.980158346280499,0.634070471314477,0.658255454444125,0.536144578313253,0.48207561993892944,9710.0,154.0,154.0,178.0
