experiment,defense,noise_multiplier,target_client_id,attack_auroc,attack_accuracy,attack_precision,attack_recall,attack_f1,attack_threshold,score_direction,attack,member_loss_mean,nonmember_loss_mean,loss_gap,member_loss_drop_mean,nonmember_loss_drop_mean,loss_drop_gap,member_loss_before_mean,member_loss_after_mean,nonmember_loss_before_mean,nonmember_loss_after_mean
no_defense,no_defense,0.0,0,0.622319,0.5965,0.6384505021520803,0.445,0.5244549204478491,9.768176078796387,as_is,update_effect,,,,52.45833206176758,-46.91480255126953,99.37313842773438,158.36131286621094,105.90296936035156,192.78125,239.69606018066406
update_clipping,update_clipping,0.0,0,0.690817,0.648,0.6796116504854369,0.56,0.6140350877192983,-440.4869384765625,inverted,update_effect,,,,358.12127685546875,571.8972778320312,-213.7760009765625,2364.780029296875,2006.65869140625,3898.341552734375,3326.444580078125
clipping_noise_0.1,clipping_noise,0.1,0,0.6910315,0.648,0.6800486618004866,0.559,0.6136114160263447,-462.6734619140625,inverted,update_effect,,,,373.4802551269531,583.8646850585938,-210.38442993164062,2615.4921875,2242.011962890625,4289.6826171875,3705.8173828125
clipping_noise_0.3,clipping_noise,0.3,0,0.680985,0.6475,0.6836861768368617,0.549,0.6089850249584027,-429.663818359375,inverted,update_effect,,,,356.6578369140625,569.1838989257812,-212.52606201171875,2401.177490234375,2044.51953125,3956.21240234375,3387.02880859375
clipping_noise_0.5,clipping_noise,0.5,0,0.6803404999999999,0.6475,0.6805385556915544,0.556,0.6119977985690699,-469.98681640625,inverted,update_effect,,,,382.46905517578125,595.740234375,-213.27117919921875,2666.197021484375,2283.72802734375,4364.61181640625,3768.8720703125
clipping_noise_1,clipping_noise,1.0,0,0.6916915,0.648,0.6800486618004866,0.559,0.6136114160263447,-468.4766845703125,inverted,update_effect,,,,376.19171142578125,593.6007690429688,-217.4090576171875,2641.908203125,2265.716552734375,4329.51806640625,3735.91748046875
