experiment,client_id,num_train_windows,train_loss,rmse,mae,nasa_score,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
isolated,0,2650,3668.274584795106,43.515902714553675,39.51740264892578,407525.6662583599,0.9822642150108951,0.7476729574026133,0.401920438957476,0.8825301204819277,0.5523091423185674,9428,436,39,293
isolated,1,2939,3824.033871352317,36.770382581042725,33.51017379760742,215072.95506802743,0.9788495527120649,0.6818318007821473,0.768,0.2891566265060241,0.4201312910284464,9835,29,236,96
isolated,2,2788,3762.2953781179012,39.82046041148711,36.22031784057617,284826.23040331365,0.9837323747544924,0.6247539668608264,0.5424836601307189,0.75,0.629582806573957,9654,210,83,249
isolated,3,3086,3761.6351869060245,31.89395212464122,29.05497932434082,143712.73982123274,0.9872742185286156,0.7499982219905674,0.8300970873786407,0.5150602409638554,0.6356877323420075,9829,35,161,171
isolated,4,2559,3634.6420033896015,45.618685350687166,41.22896957397461,472037.9122484146,0.960397856633346,0.7491514037216106,0.6459948320413437,0.7530120481927711,0.6954102920723226,9727,137,82,250
