experiment,round,train_loss,client_0_agg_weight,client_1_agg_weight,client_2_agg_weight,client_3_agg_weight,client_4_agg_weight,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
rq2_fault_aware,1,7165.945083744508,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,84.70003654902547,74.12722778320312,11038367.197595078,0.9767144602596101,0.8985883231075924,0.0,0.0,0.0,3089,0,620,0,99.94598638921175,95.43310546875,46105642.83799714,0.978492742258572,0.7058897521441001,0.0,0.0,0.0,9864,0,332,0
rq2_fault_aware,2,6548.703495040226,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,81.77210853570428,71.1285400390625,8513207.66100855,0.9706087678442759,0.8855333096779716,0.0,0.0,0.0,3089,0,620,0,96.72513104960106,92.05856323242188,35561802.011603385,0.9250542315246387,0.656168137903286,0.0,0.0,0.0,9864,0,332,0
rq2_fault_aware,3,6078.610912926089,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,78.66427936272123,68.04969787597656,6432631.325266172,0.969612255767082,0.8787519226778377,0.0,0.0,0.0,3089,0,620,0,93.26770211500067,88.45208740234375,26874219.421898857,0.9213149740079539,0.6402179305595019,0.0,0.0,0.0,9864,0,332,0
rq2_fault_aware,4,5596.403468758295,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,75.3596455131989,64.84043884277344,4755114.197405396,0.9717812424941781,0.8777683693825844,0.9760765550239234,0.32903225806451614,0.49215922798552475,3084,5,416,204,89.55541776778499,84.59454345703125,19865694.785864547,0.9267885104896472,0.6847385956273816,1.0,0.015060240963855422,0.02967359050445104,9864,0,327,5
rq2_fault_aware,5,5106.940954887665,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,71.87224179490299,61.48225784301758,3442557.8185235597,0.9723420252926618,0.879717279722435,0.8580645161290322,0.6435483870967742,0.7354838709677419,3023,66,221,399,85.60779081167934,80.51254272460938,14380857.436313093,0.929797963142106,0.6884526179179986,0.8378378378378378,0.28012048192771083,0.4198645598194131,9846,18,239,93
rq2_fault_aware,6,4612.004252862944,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,68.1798875792011,57.807647705078125,2444393.085060167,0.9621033009952066,0.8856470641272985,0.8499025341130604,0.7032258064516129,0.7696381288614298,3012,77,184,436,81.44461667868234,76.21893310546875,10209341.468964089,0.8932664966435082,0.6902186755550709,0.8648648648648649,0.3855421686746988,0.5333333333333333,9844,20,204,128
rq2_fault_aware,7,4112.991555146667,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,64.2586402872213,53.69749069213867,1699495.9144079108,0.8727613070311929,0.8422486993999118,0.9489247311827957,0.5693548387096774,0.7116935483870968,3070,19,267,353,77.05622059777198,71.74036407470703,7099647.4994283775,0.7023216039339841,0.5757740771424987,0.9333333333333333,0.1686746987951807,0.2857142857142857,9860,4,276,56
rq2_fault_aware,8,3624.1356035676604,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,60.25233600567388,49.91741943359375,1156287.1460770248,0.932844954521246,0.8895610682503277,0.8830188679245283,0.7548387096774194,0.8139130434782609,3027,62,152,468,72.44423030101328,67.05876922607422,4830200.16885257,0.8527647695404488,0.7094814268246672,0.8938547486033519,0.4819277108433735,0.6262230919765166,9845,19,172,160
rq2_fault_aware,9,3162.588193893572,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,56.14716076623443,46.2200813293457,771956.3439779402,0.9753662841090655,0.9158271040401665,0.8450479233226837,0.853225806451613,0.8491171749598716,2992,97,91,529,67.65543446390689,62.293575286865234,3223688.946678873,0.9449171381389303,0.7699338331282033,0.7912087912087912,0.6506024096385542,0.7140495867768595,9807,57,116,216
rq2_fault_aware,10,2718.7095437252283,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,51.98847951184113,42.67060852050781,506633.7905460277,0.9810226714982403,0.9191824885674023,0.8141592920353983,0.8903225806451613,0.8505392912172574,2963,126,68,552,62.720756616505156,57.45848083496094,2113589.810935609,0.9661805677698627,0.7947687555607887,0.7540453074433657,0.7018072289156626,0.7269890795631825,9788,76,99,233
rq2_fault_aware,11,2300.045634697583,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,47.68963738247414,38.95212936401367,326862.8732513261,0.9818440042189246,0.914744685356674,0.8028985507246377,0.8935483870967742,0.8458015267175573,2953,136,66,554,57.63309155500423,52.4986686706543,1361375.1165617476,0.9737625990580326,0.8045723893436286,0.746875,0.7198795180722891,0.7331288343558282,9783,81,93,239
rq2_fault_aware,12,1915.2787701378475,0.19692340111684753,0.18470129596459803,0.19128648193024972,0.21262248445896112,0.21446633652934358,43.44698637420092,35.57383728027344,207492.387402659,0.9813129836360028,0.9081703508981299,0.7698630136986301,0.9064516129032258,0.8325925925925926,2921,168,58,562,52.419106204822874,47.52096176147461,860531.5981718481,0.9788081767459131,0.8095426961085663,0.7044198895027625,0.7680722891566265,0.7348703170028819,9757,107,77,255
