experiment,round,train_loss,client_0_agg_weight,client_1_agg_weight,client_2_agg_weight,client_3_agg_weight,client_4_agg_weight,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
rq2_fedavg,1,7163.979483115031,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,84.69332313928294,74.12073516845703,11031452.536944563,0.9768361198425213,0.9003187572729392,0.0,0.0,0.0,3089,0,620,0,99.93827196387278,95.42547607421875,46075932.843448415,0.9775443012927623,0.6872401295112915,0.0,0.0,0.0,9864,0,332,0
rq2_fedavg,2,6548.802485120536,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,81.76025774233928,71.11616516113281,8504548.101099316,0.9724185194080974,0.8869273008075444,0.0,0.0,0.0,3089,0,620,0,96.71259067625321,92.04513549804688,35526562.29805715,0.9417459985929117,0.6421092115379701,0.0,0.0,0.0,9864,0,332,0
rq2_fedavg,3,6079.770195544892,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,78.6528108107873,68.03883361816406,6426029.38169673,0.9678808258231604,0.8795106196758128,0.0,0.0,0.0,3089,0,620,0,93.25485912272883,88.43855285644531,26846469.196389485,0.9206816621718016,0.6337537956979789,0.0,0.0,0.0,9864,0,332,0
rq2_fedavg,4,5596.00851615126,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,75.35019803391361,64.83557891845703,4750843.532673471,0.9715400119048865,0.8801540654639044,0.9936305732484076,0.25161290322580643,0.4015444015444015,3088,1,464,156,89.54413083607155,84.5826187133789,19847628.470980983,0.9193348821075056,0.6842079269085655,0.0,0.0,0.0,9864,0,332,0
rq2_fedavg,5,5106.849356581868,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,71.86321234861757,61.48933410644531,3438165.783446097,0.9713875458181476,0.874869588799497,0.8714953271028038,0.6016129032258064,0.7118320610687023,3034,55,247,373,85.59248070891654,80.49853515625,14362187.826706313,0.9346852128709484,0.6777316022678261,0.8461538461538461,0.2319277108433735,0.3640661938534279,9850,14,255,77
rq2_fedavg,6,4608.818892431009,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,68.14575730213328,57.76191711425781,2435355.6041481304,0.9623711609352646,0.8826631610546564,0.836852207293666,0.7032258064516129,0.7642418930762489,3004,85,184,436,81.40158635873597,76.17692565917969,10171408.385438986,0.89059507494699,0.6822216097696356,0.8424242424242424,0.4186746987951807,0.5593561368209256,9838,26,193,139
rq2_fedavg,7,4109.458506072362,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,64.23253729735616,53.704872131347656,1693557.1942719256,0.8562531981328128,0.8277211254562669,0.9362244897959183,0.5919354838709677,0.7252964426877471,3064,25,253,367,77.01530641291379,71.70320129394531,7074415.12983714,0.6647584865007475,0.5483174807567318,0.8513513513513513,0.1897590361445783,0.3103448275862069,9853,11,269,63
rq2_fedavg,8,3625.502388389514,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,60.23741480656457,49.93321990966797,1153548.086377477,0.9566275754759344,0.9011030486974964,0.8665480427046264,0.785483870967742,0.8240270727580372,3014,75,133,487,72.41683673143629,67.03238677978516,4818717.092525155,0.894877563783113,0.7271745418332023,0.8599033816425121,0.536144578313253,0.660482374768089,9835,29,154,178
rq2_fedavg,9,3157.908861614002,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,56.118851016865314,46.18878173828125,769968.5022561135,0.971267974811767,0.9163376307125779,0.8357030015797788,0.853225806451613,0.8443735035913806,2985,104,91,529,67.62498555914819,62.26033401489258,3215392.567557206,0.9288061613852002,0.7691555595431999,0.7877697841726619,0.6596385542168675,0.7180327868852459,9805,59,113,219
rq2_fedavg,10,2714.6491320550713,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,51.93808052849446,42.59162521362305,504803.5912795945,0.981060788019925,0.9211087727379055,0.8084795321637427,0.8919354838709678,0.848159509202454,2958,131,67,553,62.67549190198869,57.39992904663086,2106153.5543283727,0.9657130651560011,0.7952932643899217,0.7436708860759493,0.7078313253012049,0.7253086419753086,9783,81,97,235
rq2_fedavg,11,2299.189124288115,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,47.691262752927294,38.97663497924805,325493.3584172824,0.9829488612036466,0.921527973026074,0.7791666666666667,0.9048387096774193,0.8373134328358209,2930,159,59,561,57.59000047140888,52.455780029296875,1355668.8932520912,0.9822019220434048,0.8132024367167819,0.7259475218658892,0.75,0.7377777777777778,9770,94,83,249
rq2_fedavg,12,1911.9110874980652,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,43.4496680910978,35.526283264160156,206938.96728028057,0.9825154815735335,0.9179742867873748,0.780250347705146,0.9048387096774193,0.8379387602688574,2931,158,59,561,52.39141952499235,47.4803581237793,858549.1509227558,0.9861938630434144,0.8164317112267103,0.7130681818181818,0.7560240963855421,0.7339181286549707,9763,101,81,251
rq2_fedavg,13,1562.909134742811,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,39.09554695860115,32.12392044067383,129698.98390071427,0.9824110527470002,0.9189670382322124,0.7979502196193266,0.8790322580645161,0.8365310821181888,2951,138,75,545,47.04752625338021,42.48953628540039,533163.629372712,0.9853533660188198,0.812511529562616,0.7571884984025559,0.713855421686747,0.7348837209302326,9788,76,95,237
rq2_fedavg,14,1243.553515211452,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,34.86855024084652,28.896041870117188,81810.29719933048,0.982361449054397,0.9207849967895292,0.8124054462934948,0.8661290322580645,0.8384074941451991,2965,124,83,537,41.68111159118195,37.55189514160156,329635.90143119334,0.9834752635847527,0.8056094312267218,0.8064516129032258,0.677710843373494,0.7364975450081833,9810,54,107,225
rq2_fedavg,15,973.0029673679743,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,31.065948233531156,26.056610107421875,53822.24154953012,0.9829326747355339,0.9219735459525787,0.7813822284908322,0.8935483870967742,0.8337095560571859,2934,155,66,554,36.40046393130261,32.7458610534668,208210.96189172965,0.9864018116260662,0.8084373993664535,0.7286135693215339,0.7439759036144579,0.736214605067064,9772,92,85,247
rq2_fedavg,16,746.7103606645869,0.1958351162458993,0.17928968763371844,0.18820425046355727,0.21708743403223507,0.21958351162458992,27.379333989114855,23.258756637573242,38986.91949596782,0.9829086561054312,0.9219789610536516,0.7982456140350878,0.8806451612903226,0.8374233128834356,2951,138,74,546,31.242593848945326,28.089937210083008,140908.72087760284,0.9854906242976773,0.8110360911721478,0.7587301587301587,0.7198795180722891,0.7387944358578052,9788,76,93,239
