experiment,round,client_id,malicious_client,original_update_norm,protected_update_norm
clean_fedavg,1,0,False,11.01080903103304,11.01080903103304
clean_fedavg,1,1,False,11.274306814721406,11.274306814721406
clean_fedavg,1,2,False,11.132104896002383,11.132104896002383
clean_fedavg,1,3,False,11.435106223741787,11.435106223741787
clean_fedavg,1,4,False,10.746509996020816,10.746509996020816
clean_fedavg,2,0,False,3.3364880451361767,3.3364880451361767
clean_fedavg,2,1,False,3.444102483774796,3.444102483774796
clean_fedavg,2,2,False,3.4426774004823817,3.4426774004823817
clean_fedavg,2,3,False,3.8174252569568226,3.8174252569568226
clean_fedavg,2,4,False,3.254254623105768,3.254254623105768
clean_fedavg,3,0,False,2.2819794257064547,2.2819794257064547
clean_fedavg,3,1,False,2.516941657246424,2.516941657246424
clean_fedavg,3,2,False,2.3780441727128228,2.3780441727128228
clean_fedavg,3,3,False,2.9382656628085027,2.9382656628085027
clean_fedavg,3,4,False,2.4149262982795228,2.4149262982795228
clean_fedavg,4,0,False,2.173207661693817,2.173207661693817
clean_fedavg,4,1,False,2.563572486536831,2.563572486536831
clean_fedavg,4,2,False,2.405745950800051,2.405745950800051
clean_fedavg,4,3,False,2.6046714018283708,2.6046714018283708
clean_fedavg,4,4,False,2.6208545441023485,2.6208545441023485
clean_fedavg,5,0,False,2.493611636712337,2.493611636712337
clean_fedavg,5,1,False,3.0617709909427746,3.0617709909427746
clean_fedavg,5,2,False,3.349549914225092,3.349549914225092
clean_fedavg,5,3,False,2.9767904511765675,2.9767904511765675
clean_fedavg,5,4,False,3.2514333662911405,3.2514333662911405
clean_fedavg,6,0,False,2.5806698551675304,2.5806698551675304
clean_fedavg,6,1,False,3.16245567408849,3.16245567408849
clean_fedavg,6,2,False,3.5372346814575937,3.5372346814575937
clean_fedavg,6,3,False,3.2814758681441134,3.2814758681441134
clean_fedavg,6,4,False,3.419153179276853,3.419153179276853
clean_fedavg,7,0,False,3.361316291973616,3.361316291973616
clean_fedavg,7,1,False,3.555906006984484,3.555906006984484
clean_fedavg,7,2,False,3.2532911376676474,3.2532911376676474
clean_fedavg,7,3,False,3.9644745074275454,3.9644745074275454
clean_fedavg,7,4,False,3.0291905012757256,3.0291905012757256
clean_fedavg,8,0,False,2.478261897557664,2.478261897557664
clean_fedavg,8,1,False,2.5749127489547883,2.5749127489547883
clean_fedavg,8,2,False,2.126791044524871,2.126791044524871
clean_fedavg,8,3,False,2.547248460158224,2.547248460158224
clean_fedavg,8,4,False,2.261351886666644,2.261351886666644
clean_fedavg,9,0,False,2.0102962880735435,2.0102962880735435
clean_fedavg,9,1,False,2.028266925447394,2.028266925447394
clean_fedavg,9,2,False,1.846886950212771,1.846886950212771
clean_fedavg,9,3,False,2.0598004555219007,2.0598004555219007
clean_fedavg,9,4,False,2.1897451914823107,2.1897451914823107
clean_fedavg,10,0,False,1.863104170679966,1.863104170679966
clean_fedavg,10,1,False,2.010300765202199,2.010300765202199
clean_fedavg,10,2,False,2.0179310200070555,2.0179310200070555
clean_fedavg,10,3,False,2.066432787897276,2.066432787897276
clean_fedavg,10,4,False,2.6315221529021997,2.6315221529021997
clean_fedavg,11,0,False,2.0270502085982027,2.0270502085982027
clean_fedavg,11,1,False,2.379588584984978,2.379588584984978
clean_fedavg,11,2,False,1.9833427497735754,1.9833427497735754
clean_fedavg,11,3,False,1.864604092260095,1.864604092260095
clean_fedavg,11,4,False,3.023590257220851,3.023590257220851
clean_fedavg,12,0,False,2.054213307963218,2.054213307963218
clean_fedavg,12,1,False,1.9980124937280515,1.9980124937280515
clean_fedavg,12,2,False,2.0276505748010023,2.0276505748010023
clean_fedavg,12,3,False,2.0253642921705035,2.0253642921705035
clean_fedavg,12,4,False,2.596066683555465,2.596066683555465
clean_fedavg,13,0,False,1.9048813767153872,1.9048813767153872
clean_fedavg,13,1,False,2.476659100889611,2.476659100889611
clean_fedavg,13,2,False,2.252144192316854,2.252144192316854
clean_fedavg,13,3,False,2.2260652839519657,2.2260652839519657
clean_fedavg,13,4,False,3.6431110010102707,3.6431110010102707
clean_fedavg,14,0,False,2.3797391810329227,2.3797391810329227
clean_fedavg,14,1,False,2.584145607417429,2.584145607417429
clean_fedavg,14,2,False,2.5563095675391443,2.5563095675391443
clean_fedavg,14,3,False,2.1106679265450157,2.1106679265450157
clean_fedavg,14,4,False,3.071609341022344,3.071609341022344
clean_fedavg,15,0,False,2.212373419299431,2.212373419299431
clean_fedavg,15,1,False,2.683690149331774,2.683690149331774
clean_fedavg,15,2,False,2.545956336711947,2.545956336711947
clean_fedavg,15,3,False,2.4624076960383756,2.4624076960383756
clean_fedavg,15,4,False,3.502275931154798,3.502275931154798
clean_fedavg,16,0,False,2.370329581878659,2.370329581878659
clean_fedavg,16,1,False,2.613420404446734,2.613420404446734
clean_fedavg,16,2,False,2.953051492288094,2.953051492288094
clean_fedavg,16,3,False,2.57617255645125,2.57617255645125
clean_fedavg,16,4,False,3.710317583932364,3.710317583932364
clean_fedavg,17,0,False,2.303829975003075,2.303829975003075
clean_fedavg,17,1,False,2.4631603102199966,2.4631603102199966
clean_fedavg,17,2,False,3.0425972659568172,3.0425972659568172
clean_fedavg,17,3,False,2.898780796026753,2.898780796026753
clean_fedavg,17,4,False,3.2333578246780452,3.2333578246780452
clean_fedavg,18,0,False,2.7538099301484,2.7538099301484
clean_fedavg,18,1,False,2.3338413704386682,2.3338413704386682
clean_fedavg,18,2,False,2.899220937413593,2.899220937413593
clean_fedavg,18,3,False,2.8422132658552957,2.8422132658552957
clean_fedavg,18,4,False,3.5348096283030026,3.5348096283030026
clean_fedavg,19,0,False,2.6564247903922653,2.6564247903922653
clean_fedavg,19,1,False,2.3098626997896816,2.3098626997896816
clean_fedavg,19,2,False,2.555138459953895,2.555138459953895
clean_fedavg,19,3,False,2.7946554023110446,2.7946554023110446
clean_fedavg,19,4,False,3.357754979943872,3.357754979943872
clean_fedavg,20,0,False,2.5041717939900234,2.5041717939900234
clean_fedavg,20,1,False,2.4531708846858207,2.4531708846858207
clean_fedavg,20,2,False,2.248514544470747,2.248514544470747
clean_fedavg,20,3,False,3.366991853708327,3.366991853708327
clean_fedavg,20,4,False,3.651745233027545,3.651745233027545
clean_fedavg,21,0,False,2.830940790884563,2.830940790884563
clean_fedavg,21,1,False,2.9406243246807273,2.9406243246807273
clean_fedavg,21,2,False,2.4535336839327915,2.4535336839327915
clean_fedavg,21,3,False,2.9411441954834845,2.9411441954834845
clean_fedavg,21,4,False,3.450550491894524,3.450550491894524
clean_fedavg,22,0,False,2.744234683842645,2.744234683842645
clean_fedavg,22,1,False,2.522457122635863,2.522457122635863
clean_fedavg,22,2,False,2.581775425526106,2.581775425526106
clean_fedavg,22,3,False,3.3414561398769362,3.3414561398769362
clean_fedavg,22,4,False,3.8926645309049865,3.8926645309049865
clean_fedavg,23,0,False,2.3539678363256593,2.3539678363256593
clean_fedavg,23,1,False,2.687646685602027,2.687646685602027
clean_fedavg,23,2,False,2.326121704344427,2.326121704344427
clean_fedavg,23,3,False,3.1016747485600606,3.1016747485600606
clean_fedavg,23,4,False,3.013097107975363,3.013097107975363
clean_fedavg,24,0,False,2.1392505334625045,2.1392505334625045
clean_fedavg,24,1,False,2.6655905576069254,2.6655905576069254
clean_fedavg,24,2,False,2.2065693391159122,2.2065693391159122
clean_fedavg,24,3,False,3.1515258613046333,3.1515258613046333
clean_fedavg,24,4,False,2.99301332203479,2.99301332203479
clean_fedavg,25,0,False,2.3449340987127902,2.3449340987127902
clean_fedavg,25,1,False,2.802547556670473,2.802547556670473
clean_fedavg,25,2,False,2.409116120728944,2.409116120728944
clean_fedavg,25,3,False,2.779562417722315,2.779562417722315
clean_fedavg,25,4,False,3.3966769966143984,3.3966769966143984
clean_fedavg,26,0,False,2.3631493321697152,2.3631493321697152
clean_fedavg,26,1,False,2.756453762280239,2.756453762280239
clean_fedavg,26,2,False,2.148468608065263,2.148468608065263
clean_fedavg,26,3,False,2.86103524560718,2.86103524560718
clean_fedavg,26,4,False,2.782511605038115,2.782511605038115
clean_fedavg,27,0,False,1.913176632387256,1.913176632387256
clean_fedavg,27,1,False,2.611473532842014,2.611473532842014
clean_fedavg,27,2,False,2.3958061728700852,2.3958061728700852
clean_fedavg,27,3,False,2.586397502598727,2.586397502598727
clean_fedavg,27,4,False,2.7840849214673353,2.7840849214673353
clean_fedavg,28,0,False,2.163803393647841,2.163803393647841
clean_fedavg,28,1,False,2.3071049533089543,2.3071049533089543
clean_fedavg,28,2,False,2.0563054800305567,2.0563054800305567
clean_fedavg,28,3,False,2.7354282130748238,2.7354282130748238
clean_fedavg,28,4,False,2.9876534262852483,2.9876534262852483
clean_fedavg,29,0,False,2.067711236912652,2.067711236912652
clean_fedavg,29,1,False,2.4215258169284346,2.4215258169284346
clean_fedavg,29,2,False,2.3992171829547253,2.3992171829547253
clean_fedavg,29,3,False,2.546850885148804,2.546850885148804
clean_fedavg,29,4,False,2.8776176729036718,2.8776176729036718
clean_fedavg,30,0,False,1.9571328240002512,1.9571328240002512
clean_fedavg,30,1,False,2.386458669151897,2.386458669151897
