experiment,round,client_id,update_norm,norm_threshold,validation_rmse,base_validation_rmse,validation_auprc,base_validation_auprc,cosine_to_median_update,norm_flag,rmse_flag,auprc_flag,cosine_flag,flagged,fallback_kept_all
poisoned_detection_filter,1,0,11.091886095944682,11.696153123725587,84.94339222571995,91.9451900250905,0.09202132186204086,0.10918335497165238,0.9845342060059777,False,False,False,False,False,False
poisoned_detection_filter,1,1,11.351942499006668,11.696153123725587,84.71496325915511,91.9451900250905,0.1732790809294616,0.10918335497165238,0.9957995997501068,False,False,False,False,False,False
poisoned_detection_filter,1,2,11.179837186647209,11.696153123725587,84.84516285656036,91.9451900250905,0.3387987380483871,0.10918335497165238,0.9961997908323845,False,False,False,False,False,False
poisoned_detection_filter,1,3,11.452195855477484,11.696153123725587,84.46823552377545,91.9451900250905,0.16332886095308286,0.10918335497165238,0.9931881144405502,False,False,False,False,False,False
poisoned_detection_filter,1,4,10.817032464455368,11.696153123725587,85.10195229932302,91.9451900250905,0.2861603406447133,0.10918335497165238,0.9922388381231331,False,False,False,False,False,False
poisoned_detection_filter,2,0,3.243568775862386,4.047485089660764,82.08964290735007,84.79780927023558,0.24174867241961218,0.1666842087970586,0.8460267612143845,False,False,False,False,False,False
poisoned_detection_filter,2,1,3.6661083959897813,4.047485089660764,81.81152716190121,84.79780927023558,0.8670306881647724,0.1666842087970586,0.9227084864686214,False,False,False,False,False,False
poisoned_detection_filter,2,2,3.47542004915429,4.047485089660764,81.95110072571478,84.79780927023558,0.8732593069753678,0.1666842087970586,0.9239067391976306,False,False,False,False,False,False
poisoned_detection_filter,2,3,3.7750111936166277,4.047485089660764,81.55657006700166,84.79780927023558,0.8758732499904317,0.1666842087970586,0.9255171200398373,False,False,False,False,False,False
poisoned_detection_filter,2,4,3.4291677605177613,4.047485089660764,82.23264266415892,84.79780927023558,0.8531599764415093,0.1666842087970586,0.9126194348582678,False,False,False,False,False,False
poisoned_detection_filter,3,0,2.195972894374784,3.06048385790347,79.03523492326065,81.90838715735251,0.15123379305973567,0.8626756154981085,0.6370800848856103,False,False,True,False,True,False
poisoned_detection_filter,3,1,2.7689973316069145,3.06048385790347,78.75513996122729,81.90838715735251,0.880188673389302,0.8626756154981085,0.8583026720568798,False,False,False,False,False,False
poisoned_detection_filter,3,2,2.7230486605768927,3.06048385790347,78.90595296973797,81.90838715735251,0.8783945480046874,0.8626756154981085,0.832997409718281,False,False,False,False,False,False
poisoned_detection_filter,3,3,2.835527059685752,3.06048385790347,78.46711032237488,81.90838715735251,0.8779945021895217,0.8626756154981085,0.8436078926888646,False,False,False,False,False,False
poisoned_detection_filter,3,4,2.5153799258871508,3.06048385790347,79.18913709337758,81.90838715735251,0.8845406743982316,0.8626756154981085,0.7971485360106223,False,False,False,False,False,False
poisoned_detection_filter,4,0,2.3321808544072016,3.620698638684499,75.76098311466133,78.8058209897911,0.10889359017454425,0.8833312725967527,-0.1100097290419414,False,False,True,True,True,False
poisoned_detection_filter,4,1,2.9606545326513647,3.620698638684499,75.44246436647931,78.8058209897911,0.874726249201339,0.8833312725967527,0.8532670732604498,False,False,False,False,False,False
poisoned_detection_filter,4,2,3.298690174217885,3.620698638684499,75.5669166151349,78.8058209897911,0.8715400695350638,0.8833312725967527,0.8249432638826654,False,False,False,False,False,False
poisoned_detection_filter,4,3,3.1806692346624095,3.620698638684499,75.15991740012592,78.8058209897911,0.8764101857323523,0.8833312725967527,0.8161205965228645,False,False,False,False,False,False
