experiment,rmse,mae,nasa_score,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
rq5_naive_validation,14.705107568414208,10.916820526123047,60128.90578006927,0.9964804473367924,0.8955546452605114,0.803076923076923,0.786144578313253,0.7945205479452054,9800,64,71,261
rq5_distribution_aware_validation,15.660982494105026,12.072419166564941,89676.36685881212,0.9958260658204593,0.8706231869801436,0.8241042345276873,0.7620481927710844,0.7918622848200313,9810,54,79,253
