experiment,round,train_loss,val_rmse,val_mae,val_nasa_score,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp
rq1_variable_sensor_adapter,1,7204.947540784089,85.04037127208318,74.4654769897461,56936313.30605988,0.5333416806775342,0.24645356923969333,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,2,6619.176779477854,82.18159734031853,71.54064178466797,44161733.147059746,0.4973737298843973,0.2957155988965148,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,3,6152.43654126117,79.11586946233511,68.50138854980469,33508083.70255733,0.6267345210371871,0.4237597793036421,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,4,5675.167587832223,75.86464805308695,65.38150787353516,24890173.475695163,0.8264320951555467,0.5682237205694209,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,5,5188.200750729266,72.4511756396161,62.21834182739258,18107870.78919751,0.908880502093798,0.6747702823794173,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,6,4708.203090478787,68.90069067709881,59.02239227294922,12914683.08892394,0.9331140467214569,0.7350541725461897,0.0,0.0,0.0,15445,0,3100,0
rq1_variable_sensor_adapter,7,4227.9430188613715,65.21092205657538,55.7313232421875,9033218.654870749,0.939745151891728,0.7571601250276794,0.8848641655886158,0.22064516129032258,0.35321456235476373,15356,89,2416,684
rq1_variable_sensor_adapter,8,3759.298797720573,61.347349693797895,52.19359588623047,6199022.099796032,0.9385160350463142,0.7531543673297894,0.7660988782717075,0.5948387096774194,0.6696931178500091,14882,563,1256,1844
rq1_variable_sensor_adapter,9,3277.728820267815,57.30291461555424,48.173892974853516,4174779.48621392,0.9139329253647176,0.7333423836397653,0.7460723419802704,0.6587096774193548,0.6996744903203701,14750,695,1058,2042
rq1_variable_sensor_adapter,10,2822.9748312823676,53.189072116160524,44.47071838378906,2759778.4396543205,0.9273335352290645,0.7792408066620713,0.7367769873182802,0.7683870967741936,0.7522501184272856,14594,851,718,2382
rq1_variable_sensor_adapter,11,2395.576093358486,48.950606382703526,40.796043395996094,1792214.7658516092,0.9425577752482794,0.8144652583667759,0.7524660912453761,0.7874193548387097,0.769546027742749,14642,803,659,2441
rq1_variable_sensor_adapter,12,2006.8856892769247,44.8784314387038,37.38587188720703,1160380.8935193883,0.9524656168088639,0.8291202437943834,0.7235749861649142,0.8435483870967742,0.7789693178433125,14446,999,485,2615
rq1_variable_sensor_adapter,13,1652.556583999094,40.74821458895469,34.18562698364258,745384.2952518627,0.952603911903842,0.8308802561444493,0.7523266286400481,0.8083870967741935,0.7793500233245219,14620,825,594,2506
rq1_variable_sensor_adapter,14,1338.8536536340348,36.751184145994706,31.098024368286133,489034.27434128325,0.957287012186844,0.8395174922315742,0.7554299315679858,0.8190322580645162,0.785946447918279,14623,822,561,2539
rq1_variable_sensor_adapter,15,1069.368586210979,33.119735356992024,28.371545791625977,346373.22027973464,0.9589266805208909,0.8373498439095649,0.7488960847806888,0.8206451612903226,0.7831306756964753,14592,853,556,2544
rq1_variable_sensor_adapter,16,838.8224798633739,30.148674364190025,26.01777458190918,296865.8969229068,0.9596119633663676,0.8329617906255339,0.7294348069390039,0.8409677419354838,0.7812406353011687,14478,967,493,2607
