experiment,round,poisoned,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,near_failure_count,near_failure_rmse,near_failure_fault_recall,healthy_bias
clean_fedavg,1,False,7181.794766164827,99.97801027757303,95.46762084960938,46222753.49060209,0.9794370608956507,0.7033109060693756,0.0,0.0,0.0,9864,0,332,0,332,14.43308162689209,0.0,-13.126591682434082
clean_fedavg,2,False,6567.6493441377725,96.79641469825987,92.13263702392578,35768113.10801569,0.9007004294550465,0.6381186834097695,0.0,0.0,0.0,9864,0,332,0,332,11.357388496398926,0.0,-9.615168571472168
clean_fedavg,3,False,6102.003836035643,93.37542879754288,88.56425476074219,27110470.489723872,0.923813410576613,0.6480414650559191,0.0,0.0,0.0,9864,0,332,0,332,8.537711143493652,0.0,-6.05385160446167
clean_fedavg,4,False,5623.435463872814,89.71793908550285,84.76268005371094,20131514.002082888,0.9176302228378234,0.6787072573346837,0.0,0.0,0.0,9864,0,332,0,332,6.379673004150391,0.0,-2.3632450103759766
clean_fedavg,5,False,5139.068570453249,85.8251993516473,80.73921203613281,14639356.875068953,0.9490852705224793,0.6946925988123294,0.8469387755102041,0.25,0.386046511627907,9849,15,249,83,332,5.593034267425537,0.25,0.7827957272529602
clean_fedavg,6,False,4650.331291556226,81.70128876546256,76.49348449707031,10426547.646867504,0.9082357410175983,0.6852801793247938,0.8235294117647058,0.3795180722891566,0.5195876288659794,9837,27,206,126,332,6.228594779968262,0.3795180722891566,3.65085768699646
clean_fedavg,7,False,4153.206365654243,77.34186235070241,72.0288314819336,7269761.341614908,0.7383232748512297,0.6043341238008298,0.9076923076923077,0.17771084337349397,0.2972292191435768,9858,6,273,59,332,7.529667854309082,0.17771084337349397,5.784390926361084
clean_fedavg,8,False,3668.580071514037,72.78593265314046,67.42408752441406,4968237.614702605,0.8748587720712533,0.698600342665478,0.8349514563106796,0.5180722891566265,0.6394052044609665,9830,34,160,172,332,8.165230751037598,0.5180722891566265,3.60388445854187
clean_fedavg,9,False,3201.333321385176,68.0365574124033,62.673248291015625,3329477.3884937535,0.9444855150529123,0.7605726512465104,0.7984496124031008,0.6204819277108434,0.6983050847457627,9812,52,126,206,332,9.73330307006836,0.6204819277108434,5.023230075836182
clean_fedavg,10,False,2757.7195283149867,63.12592047596217,57.81854248046875,2190572.6924131247,0.9652403714615151,0.7928665589784025,0.7887323943661971,0.6746987951807228,0.7272727272727273,9804,60,108,224,332,11.398877143859863,0.6746987951807228,6.399416446685791
clean_fedavg,11,False,2341.3755679041765,58.06330310935428,52.89712142944336,1413004.3623029445,0.9813634098437545,0.8055798066036397,0.7195467422096318,0.7650602409638554,0.7416058394160584,9765,99,78,254,332,12.04258918762207,0.7650602409638554,5.530510425567627
clean_fedavg,12,False,1951.4466498382092,52.88670360278422,47.9638786315918,896966.3876291446,0.984751964060622,0.8071272122277307,0.7538940809968847,0.7289156626506024,0.7411944869831547,9785,79,90,242,332,13.738863945007324,0.7289156626506024,7.0959038734436035
clean_fedavg,13,False,1597.6997117092192,47.62600730972128,43.00493621826172,561687.7496383853,0.9860286645364915,0.8072653477978645,0.753125,0.7259036144578314,0.7392638036809815,9785,79,91,241,332,14.710339546203613,0.7259036144578314,7.836930274963379
clean_fedavg,14,False,1282.772876926456,42.35509534356522,38.167598724365234,350122.2131638612,0.985403597357801,0.8077317359402663,0.7854671280276817,0.6837349397590361,0.7310789049919485,9802,62,105,227,332,15.840760231018066,0.6837349397590361,8.66103458404541
clean_fedavg,15,False,1008.961332366478,37.09010190306421,33.42060470581055,220776.06216519966,0.9846988318236449,0.8100248639117322,0.8104089219330854,0.6566265060240963,0.7254575707154742,9813,51,114,218,332,17.669775009155273,0.6566265060240963,9.928525924682617
clean_fedavg,16,False,770.5668632013167,31.986159192419656,28.82330322265625,147972.6912957948,0.9864189116563579,0.8128671844291038,0.8548387096774194,0.6385542168674698,0.7310344827586207,9828,36,120,212,332,17.172147750854492,0.6385542168674698,9.823786735534668
clean_fedavg,17,False,594.4414865766797,27.29113911902657,24.543724060058594,114032.45340298589,0.9873981937482289,0.8175618180372328,0.8241758241758241,0.677710843373494,0.743801652892562,9816,48,107,225,332,16.442310333251953,0.677710843373494,8.578030586242676
clean_fedavg,18,False,457.6491804048047,23.262380933584996,20.732810974121094,107886.07891290028,0.9886932156851249,0.8135131779096464,0.8072727272727273,0.6686746987951807,0.7314662273476112,9811,53,110,222,332,15.175405502319336,0.6686746987951807,8.317397117614746
