experiment,rmse,mae,nasa_score,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
rq2_fedavg,13.631101029748224,9.82359504699707,38224.485621035805,0.9978118068380578,0.9392065459152543,0.8653846153846154,0.8132530120481928,0.8385093167701864,9822,42,62,270
rq2_fedavg_weighted_bce,13.771245460672246,9.531513214111328,51157.182828782556,0.9973836953654032,0.9293972982659634,0.7769423558897243,0.9337349397590361,0.8481532147742818,9775,89,22,310
rq2_fault_aware,13.640204389276944,9.705405235290527,41486.20716544876,0.9976130189859194,0.9338856518885275,0.8495297805642633,0.8162650602409639,0.8325652841781874,9816,48,61,271
rq2_fault_aware_weighted_bce,14.05387702203865,9.893379211425781,50873.1830157232,0.9974331633101751,0.9296309566876769,0.7086092715231788,0.9668674698795181,0.8178343949044586,9732,132,11,321
rq2_smote_fedavg,13.395963123378987,9.331686019897461,40781.42108031024,0.9971635324754003,0.92278972978645,0.7851458885941645,0.891566265060241,0.8349788434414669,9783,81,36,296
rq2_kmeans_smote_fedavg,13.335316764808155,9.09332275390625,42251.67109370926,0.9971705557021272,0.9240957030839168,0.7714285714285715,0.8945783132530121,0.8284518828451883,9776,88,35,297
