experiment,round,client_id,defense,noise_multiplier,original_update_norm,protected_update_norm,was_clipped
no_defense,1,0,no_defense,0.0,11.01080903103304,11.01080903103304,False
no_defense,1,1,no_defense,0.0,11.274306814721406,11.274306814721406,False
no_defense,1,2,no_defense,0.0,11.132104896002383,11.132104896002383,False
no_defense,1,3,no_defense,0.0,11.435106223741787,11.435106223741787,False
no_defense,1,4,no_defense,0.0,10.746509996020816,10.746509996020816,False
no_defense,2,0,no_defense,0.0,3.373620400888984,3.373620400888984,False
no_defense,2,1,no_defense,0.0,3.519226505577155,3.519226505577155,False
no_defense,2,2,no_defense,0.0,3.3399644725027153,3.3399644725027153,False
no_defense,2,3,no_defense,0.0,3.8700996139034127,3.8700996139034127,False
no_defense,2,4,no_defense,0.0,3.311188071948576,3.311188071948576,False
no_defense,3,0,no_defense,0.0,2.340768116691881,2.340768116691881,False
no_defense,3,1,no_defense,0.0,2.5784253789075344,2.5784253789075344,False
no_defense,3,2,no_defense,0.0,2.375891642782667,2.375891642782667,False
no_defense,3,3,no_defense,0.0,3.037228854749298,3.037228854749298,False
no_defense,3,4,no_defense,0.0,2.517096435684059,2.517096435684059,False
no_defense,4,0,no_defense,0.0,2.301619721930797,2.301619721930797,False
no_defense,4,1,no_defense,0.0,2.5378297162010024,2.5378297162010024,False
no_defense,4,2,no_defense,0.0,2.665942643702256,2.665942643702256,False
no_defense,4,3,no_defense,0.0,3.0345737333720617,3.0345737333720617,False
no_defense,4,4,no_defense,0.0,2.5956509487975934,2.5956509487975934,False
no_defense,5,0,no_defense,0.0,2.949380401542493,2.949380401542493,False
no_defense,5,1,no_defense,0.0,3.376114786645873,3.376114786645873,False
no_defense,5,2,no_defense,0.0,3.5103476809472505,3.5103476809472505,False
no_defense,5,3,no_defense,0.0,3.427888952179214,3.427888952179214,False
no_defense,5,4,no_defense,0.0,3.4251392295545386,3.4251392295545386,False
no_defense,6,0,no_defense,0.0,2.909547354896699,2.909547354896699,False
no_defense,6,1,no_defense,0.0,3.1518929143196095,3.1518929143196095,False
no_defense,6,2,no_defense,0.0,3.367132474996664,3.367132474996664,False
no_defense,6,3,no_defense,0.0,3.383003926821402,3.383003926821402,False
no_defense,6,4,no_defense,0.0,3.17939932703943,3.17939932703943,False
no_defense,7,0,no_defense,0.0,3.555271491676954,3.555271491676954,False
no_defense,7,1,no_defense,0.0,3.394769227037258,3.394769227037258,False
no_defense,7,2,no_defense,0.0,3.66838124090813,3.66838124090813,False
no_defense,7,3,no_defense,0.0,3.9444351954729497,3.9444351954729497,False
no_defense,7,4,no_defense,0.0,2.9534814616366916,2.9534814616366916,False
no_defense,8,0,no_defense,0.0,2.172749657279724,2.172749657279724,False
no_defense,8,1,no_defense,0.0,2.3733972197449056,2.3733972197449056,False
no_defense,8,2,no_defense,0.0,2.33746999652135,2.33746999652135,False
no_defense,8,3,no_defense,0.0,2.3845872283584724,2.3845872283584724,False
no_defense,8,4,no_defense,0.0,2.2324446537408664,2.2324446537408664,False
no_defense,9,0,no_defense,0.0,2.1453624525563684,2.1453624525563684,False
no_defense,9,1,no_defense,0.0,2.047064358188948,2.047064358188948,False
no_defense,9,2,no_defense,0.0,1.9856488641840258,1.9856488641840258,False
no_defense,9,3,no_defense,0.0,2.414066348102947,2.414066348102947,False
no_defense,9,4,no_defense,0.0,2.5538064569205643,2.5538064569205643,False
no_defense,10,0,no_defense,0.0,1.8608416632012734,1.8608416632012734,False
no_defense,10,1,no_defense,0.0,2.143851428545619,2.143851428545619,False
no_defense,10,2,no_defense,0.0,2.054928832012337,2.054928832012337,False
no_defense,10,3,no_defense,0.0,2.059779443827083,2.059779443827083,False
no_defense,10,4,no_defense,0.0,2.454036486246091,2.454036486246091,False
no_defense,11,0,no_defense,0.0,1.9127712016833711,1.9127712016833711,False
no_defense,11,1,no_defense,0.0,2.105180998734867,2.105180998734867,False
no_defense,11,2,no_defense,0.0,2.0028968980882476,2.0028968980882476,False
no_defense,11,3,no_defense,0.0,2.2772566191102754,2.2772566191102754,False
no_defense,11,4,no_defense,0.0,3.2284371250190644,3.2284371250190644,False
no_defense,12,0,no_defense,0.0,1.962507481830497,1.962507481830497,False
no_defense,12,1,no_defense,0.0,2.1182319893586694,2.1182319893586694,False
no_defense,12,2,no_defense,0.0,2.001851854329721,2.001851854329721,False
no_defense,12,3,no_defense,0.0,2.0498469585729726,2.0498469585729726,False
no_defense,12,4,no_defense,0.0,3.20190539808852,3.20190539808852,False
no_defense,13,0,no_defense,0.0,1.87583378124236,1.87583378124236,False
no_defense,13,1,no_defense,0.0,2.439252741143329,2.439252741143329,False
no_defense,13,2,no_defense,0.0,2.017695550319106,2.017695550319106,False
no_defense,13,3,no_defense,0.0,2.361105232700005,2.361105232700005,False
no_defense,13,4,no_defense,0.0,3.6263258084605234,3.6263258084605234,False
no_defense,14,0,no_defense,0.0,2.148276816049706,2.148276816049706,False
no_defense,14,1,no_defense,0.0,2.303953500515281,2.303953500515281,False
no_defense,14,2,no_defense,0.0,2.5313307549712256,2.5313307549712256,False
no_defense,14,3,no_defense,0.0,2.475789350972052,2.475789350972052,False
no_defense,14,4,no_defense,0.0,2.9279734530602526,2.9279734530602526,False
no_defense,15,0,no_defense,0.0,2.432076907618731,2.432076907618731,False
no_defense,15,1,no_defense,0.0,2.9728337728035985,2.9728337728035985,False
no_defense,15,2,no_defense,0.0,3.1596971831992398,3.1596971831992398,False
no_defense,15,3,no_defense,0.0,2.298273368182362,2.298273368182362,False
no_defense,15,4,no_defense,0.0,3.4083205419749087,3.4083205419749087,False
no_defense,16,0,no_defense,0.0,2.590119574062556,2.590119574062556,False
no_defense,16,1,no_defense,0.0,2.1878268486401558,2.1878268486401558,False
no_defense,16,2,no_defense,0.0,2.8100340372953942,2.8100340372953942,False
no_defense,16,3,no_defense,0.0,2.5819683395962247,2.5819683395962247,False
no_defense,16,4,no_defense,0.0,3.206426533348978,3.206426533348978,False
no_defense,17,0,no_defense,0.0,2.4467173760407452,2.4467173760407452,False
no_defense,17,1,no_defense,0.0,2.585754930640643,2.585754930640643,False
no_defense,17,2,no_defense,0.0,2.899505734639864,2.899505734639864,False
no_defense,17,3,no_defense,0.0,2.501142087419334,2.501142087419334,False
no_defense,17,4,no_defense,0.0,3.0801091734232178,3.0801091734232178,False
no_defense,18,0,no_defense,0.0,2.7751617294572193,2.7751617294572193,False
no_defense,18,1,no_defense,0.0,2.900470264415951,2.900470264415951,False
no_defense,18,2,no_defense,0.0,2.550291958764258,2.550291958764258,False
no_defense,18,3,no_defense,0.0,2.815811081367727,2.815811081367727,False
no_defense,18,4,no_defense,0.0,3.275791742011312,3.275791742011312,False
no_defense,19,0,no_defense,0.0,2.4053816298183532,2.4053816298183532,False
no_defense,19,1,no_defense,0.0,2.6756291227021034,2.6756291227021034,False
no_defense,19,2,no_defense,0.0,2.723591210666008,2.723591210666008,False
