experiment,round,train_loss,drift_injected,drift_detected,drift_client_id,drift_client_metric,mean_client_auprc,mean_client_f1,mean_client_rmse,client_0_auprc,client_0_f1,client_0_rmse,client_1_auprc,client_1_f1,client_1_rmse,client_2_auprc,client_2_f1,client_2_rmse,client_3_auprc,client_3_f1,client_3_rmse,client_4_auprc,client_4_f1,client_4_rmse
rq4_concept_drift,1,7188.775082678962,False,False,0,0.9639722587958117,0.9480984797115852,0.0,84.24477645482943,0.9639722587958117,0.0,83.57971844854168,0.946787533912219,0.0,81.88828315436068,0.9417657835193097,0.0,81.7792020664484,0.9404039140349416,0.0,85.22264040441367,0.9475629082956434,0.0,88.75403820038275
rq4_concept_drift,2,6620.022287112384,False,False,0,0.9549659968652915,0.9107526074900892,0.0,81.87588501242782,0.9549659968652915,0.0,81.20963841252927,0.8976401761379343,0.0,79.5467905985606,0.903338274014058,0.0,79.43107332874365,0.8885837669992516,0.0,82.83958872989109,0.9092348234339114,0.0,86.35233399241447
rq4_concept_drift,3,6243.227031632282,False,False,0,0.942550931013395,0.9268905412261246,0.0,79.42461996418969,0.942550931013395,0.0,78.75567935869768,0.9290883697047689,0.0,77.12676317372751,0.9301937999469836,0.0,77.00215918746207,0.8990879483874215,0.0,80.37932834865722,0.9335316570780535,0.0,83.85916975240394
rq4_concept_drift,4,5858.833134901483,False,False,0,0.9496946139095473,0.9268101616660698,0.0,76.84754921489682,0.9496946139095473,0.0,76.17774817101284,0.9208915510801896,0.0,74.58518095942384,0.9274151815333405,0.0,74.45179858472191,0.9027995775876034,0.0,77.7904210643894,0.9332498842196678,0.0,81.23259729493604
rq4_concept_drift,5,5467.277793672736,False,False,0,0.9519189140137869,0.9292226851869279,0.2655367154419127,74.14293979346482,0.9519189140137869,0.24489795918367346,73.47159780210139,0.9309442126587791,0.20754716981132076,71.92026088510282,0.9287057779844567,0.1782178217821782,71.77840315969874,0.9054370580982689,0.3697478991596639,75.07322922383018,0.9291074631793476,0.32727272727272727,78.47120789659097
rq4_concept_drift,6,5072.313338301116,False,False,0,0.9521424586410644,0.9272394059360349,0.7398596132420663,71.30294964237376,0.9521424586410644,0.7746478873239436,70.62833924627918,0.9292151785836561,0.6713286713286714,69.11867766069096,0.9264774401417287,0.6808510638297872,68.97460116208538,0.9039175245334338,0.7904191616766467,72.224598151357,0.9244444277802917,0.782051282051282,75.56853199145627
rq4_concept_drift,7,4675.776036362518,False,False,0,0.9582673314480763,0.9290016852715495,0.7880271628966604,68.33033129789479,0.9582673314480763,0.8243243243243243,67.65201343548468,0.9167809138975027,0.7320261437908496,66.19127704048321,0.9300907358241505,0.7417218543046358,66.04587509593237,0.9094588433008021,0.8444444444444444,69.23945443734554,0.9304106018872154,0.7976190476190477,72.52303648022813
rq4_concept_drift,8,4273.3642510681875,False,False,0,0.9645603756904647,0.9175691776637022,0.8046526339262524,65.16867182255653,0.9645603756904647,0.8243243243243243,64.48249898833986,0.8953891530035274,0.7417218543046358,63.06659000921665,0.8911336935666118,0.76,62.9418735291489,0.911153286247119,0.8700564971751412,66.06604768146798,0.9256093798107877,0.8271604938271605,69.28634890460927
rq4_concept_drift,9,3869.4033913071157,False,False,0,0.9514349636677273,0.9046690594405963,0.7957072735761436,61.92498873502359,0.9514349636677273,0.7887323943661971,61.23779374546817,0.8723506579707082,0.7450980392156863,59.86328418128051,0.8665604037181539,0.7651006711409396,59.76146227333192,0.9130592220833148,0.8421052631578947,62.820867757308555,0.919940049763077,0.8375,65.94153571772878
rq4_concept_drift,10,3480.2502963748825,False,False,0,0.972179902685531,0.9424154367217807,0.8580795983776008,58.61647416096364,0.972179902685531,0.8734177215189873,57.93593452914715,0.9313875111764461,0.8074534161490683,56.60607351330553,0.9124462524868043,0.825,56.54285743188524,0.9372069073830759,0.9021739130434783,59.47611250732831,0.9588566098770467,0.8823529411764706,62.52139282315194
rq4_concept_drift,11,3110.609744087238,False,False,0,0.9794509188679582,0.9566845178634418,0.8829252214053241,55.254772916192714,0.9794509188679582,0.9122807017543859,54.58134339566039,0.9390002603870243,0.88,53.27406934751418,0.9482836604209421,0.8536585365853658,53.25040346091286,0.9492978291823604,0.8686868686868687,56.12646808700753,0.9673899204589242,0.9,59.0415802898686
rq4_concept_drift,12,2757.1570854423508,False,False,0,0.980044453210081,0.9630858171034703,0.8890316068943143,51.81758767327388,0.980044453210081,0.9162011173184358,51.14712426239133,0.9496937963032258,0.9,49.899197705380246,0.9576176014345832,0.8654970760233918,49.922525426122775,0.9599478836686399,0.8543689320388349,52.6485760357652,0.9681253509008212,0.9090909090909091,55.47051493670985
rq4_concept_drift,13,2406.795430784752,False,False,0,0.9815314823154391,0.9642764313785589,0.8755414911870811,48.34507204523129,0.9815314823154391,0.8924731182795699,47.68401342922751,0.9552734810546368,0.8864864864864865,46.45238132183053,0.9578161991278533,0.8743169398907104,46.52130623266881,0.9599840925804,0.8436018957345972,49.21718499496009,0.9667769018144652,0.8808290155440415,51.85047424746952
rq4_concept_drift,14,2083.5230168207327,False,False,0,0.9827604346443743,0.9662943407151021,0.8789627470257084,44.79604925773748,0.9827604346443743,0.8994708994708994,44.14094994349422,0.961484435670647,0.8913043478260869,42.9927120686242,0.9588698998677919,0.8695652173913043,43.10149098802297,0.9607312363338917,0.8490566037735849,45.62219865115693,0.9676256970588057,0.8854166666666666,48.122894637389074
rq4_concept_drift,15,1597.0507014301027,True,False,0,0.9739146334645474,0.9573699428823514,0.834966715097406,38.679711358404504,0.9739146334645474,0.7964601769911505,27.5781880753528,0.9568948604042941,0.883248730964467,39.528476928427814,0.9480329205612487,0.8512820512820513,39.65709342089697,0.948954471499815,0.7894736842105263,42.18016718679823,0.959052828481852,0.8543689320388349,44.45463118054673
