client_id,rmse,mae,nasa_score,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
0,18.7849503361297,14.898838996887207,129938.4996614783,0.9806867372165058,0.6217875063012624,0.6402439024390244,0.6325301204819277,0.6363636363636364,9746,118,122,210
1,24.448204876425745,18.327177047729492,632095.0055953998,0.9695579764312726,0.6200749396383911,1.0,0.018072289156626505,0.03550295857988166,9864,0,326,6
2,23.069451336365532,17.22504234313965,278383.8190783736,0.981209814928815,0.6205040744214984,0.4435483870967742,0.8283132530120482,0.5777310924369747,9519,345,57,275
3,20.178991077558937,15.613028526306152,220411.02650803304,0.9882535006204868,0.6641345235323355,0.7085201793721974,0.4759036144578313,0.5693693693693693,9799,65,174,158
4,21.63627903676232,17.035423278808594,170349.49507234638,0.9810837022054153,0.6438513126788983,0.4989648033126294,0.7259036144578314,0.5914110429447853,9622,242,91,241
