experiment,round,poisoned,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,near_failure_count,near_failure_rmse,near_failure_fault_recall,healthy_bias
clean_fedavg,30,False,174.38289204264893,14.30726387827586,10.56474781036377,49551.30927765064,0.996642286909194,0.9096008317663343,0.8941176470588236,0.6867469879518072,0.7768313458262351,9837,27,104,228,332,6.999190330505371,0.6867469879518072,5.028801918029785
poisoned_fedavg,30,True,247.57544470381845,15.102684014873812,11.783125877380371,47837.19458527785,0.9948980838194627,0.8577057711266839,1.0,0.09036144578313253,0.16574585635359115,9864,0,302,30,332,19.607210159301758,0.09036144578313253,19.048248291015625
poisoned_clipping,30,True,3031.51170497707,67.99823354782828,62.73782730102539,3317582.3892074656,0.9838212338404715,0.7996416279556043,0.9080459770114943,0.4759036144578313,0.6245059288537549,9848,16,174,158,332,13.364032745361328,0.4759036144578313,12.159600257873535
poisoned_median,30,True,244.3236555886774,14.603185833886503,10.770601272583008,46593.176102436075,0.9960340144031111,0.8881909383643851,0.9402985074626866,0.3795180722891566,0.5407725321888412,9856,8,206,126,332,13.10824966430664,0.3795180722891566,12.05803394317627
poisoned_trimmed_mean,30,True,259.6450337571025,16.102967816826986,12.338119506835938,72947.05513863347,0.9934421383832166,0.8425362609002655,0.9193548387096774,0.3433734939759036,0.5,9854,10,218,114,332,16.52440071105957,0.3433734939759036,14.818424224853516
poisoned_detection_filter,30,True,276.47761307312214,14.765394550119652,10.819446563720703,53856.040680725295,0.9967766442900555,0.904309478269064,0.9087136929460581,0.6596385542168675,0.7643979057591623,9842,22,113,219,332,7.095326900482178,0.6596385542168675,4.825550556182861
